"average_accuracy_1","average_accuracy_7","architecture","marker","Partition"
0.724137902259827,0.734375,"MLP","LINKED_SNPS","Partition_2"
0.74193549156189,0.703125,"MLP","LINKED_SNPS","Partition_3"
0.637931048870087,0.606557369232178,"MLP","LINKED_SNPS","Partition_4"
0.6721311211586,0.64615386724472,"MLP","LINKED_SNPS","Partition_5"
0.629032254219055,0.58730161190033,"MLP","LINKED_SNPS","Partition_6"
0.737704932689667,0.515625,"MLP","LINKED_SNPS","Partition_7"
0.627118647098541,0.796875,"MLP","LINKED_SNPS","Partition_8"
0.666666686534882,0.507936537265778,"MLP","LINKED_SNPS","Partition_9"
0.649999976158142,0.53125,"MLP","LINKED_SNPS","Partition_10"
0.6875,0.647058844566345,"MLP","LINKED_SNPS","ARO_ADM"
0.686567187309265,0.558823525905609,"MLP_PCA","PCA_LINKED_SNPS","Partition_1"
0.74137932062149,0.484375,"MLP_PCA","PCA_LINKED_SNPS","Partition_2"
0.709677398204803,0.6875,"MLP_PCA","PCA_LINKED_SNPS","Partition_3"
0.689655184745789,0.573770463466644,"MLP_PCA","PCA_LINKED_SNPS","Partition_4"
0.622950792312622,0.6307692527771,"MLP_PCA","PCA_LINKED_SNPS","Partition_5"
0.75806450843811,0.60317462682724,"MLP_PCA","PCA_LINKED_SNPS","Partition_6"
0.622950792312622,0.515625,"MLP_PCA","PCA_LINKED_SNPS","Partition_7"
0.593220353126526,0.71875,"MLP_PCA","PCA_LINKED_SNPS","Partition_8"
0.649999976158142,0.507936537265778,"MLP_PCA","PCA_LINKED_SNPS","Partition_9"
0.566666662693024,0.640625,"MLP_PCA","PCA_LINKED_SNPS","Partition_10"
0.71875,0.676470577716827,"MLP_PCA","PCA_LINKED_SNPS","ARO_ADM"
0.611940324306488,0.764705896377563,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_1"
0.655172407627106,0.78125,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_2"
0.709677398204803,0.65625,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_3"
0.655172407627106,0.721311450004578,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_4"
0.606557369232178,0.800000011920929,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_5"
0.725806474685669,0.650793671607971,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_6"
0.704918026924133,0.671875,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_7"
0.661016941070557,0.765625,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_8"
0.633333325386047,0.634920656681061,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_9"
0.75,0.640625,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_10"
0.65625,0.794117629528046,"MLP_PCA","PCA_MULTIPLE_INPUTS","ARO_ADM"
