"average_loss_1","average_loss_7","average_loss_8","average_loss_10","architecture","marker","Partition"
0.842558920383453,0.592661142349243,0.816917300224304,0.422968000173569,"CNN","ALL","Partition_1"
0.727168202400208,0.612918496131897,0.811847448348999,0.400439321994781,"CNN","ALL","Partition_2"
0.534203469753265,0.594129323959351,0.911774516105652,0.379372090101242,"CNN","ALL","Partition_3"
0.680794358253479,0.72177642583847,0.816521227359772,0.351415365934372,"CNN","ALL","Partition_4"
0.742449045181274,0.712152183055878,0.963744938373566,0.505850791931152,"CNN","ALL","Partition_5"
0.657580137252808,0.663317680358887,0.646172165870667,0.299213826656342,"CNN","ALL","Partition_6"
0.56009316444397,0.731372475624084,0.637521266937256,0.372531563043594,"CNN","ALL","Partition_7"
0.768781006336212,0.525455355644226,0.661900818347931,0.340614348649979,"CNN","ALL","Partition_8"
0.64165186882019,0.601585984230042,0.793766796588898,0.34988659620285,"CNN","ALL","Partition_9"
0.831142425537109,0.534797191619873,0.657668173313141,0.453788965940475,"CNN","ALL","Partition_10"
0.789092183113098,0.715135812759399,1.41413342952728,0.70259428024292,"CNN","ALL","ARO_ADM"
0.689819276332855,0.659532725811005,0.871417343616486,0.433269113302231,"CNN","SNPS","Partition_1"
0.721332788467407,0.547963500022888,0.805690884590149,0.364918291568756,"CNN","SNPS","Partition_2"
0.470388948917389,0.623041570186615,0.93520724773407,0.417030423879623,"CNN","SNPS","Partition_3"
0.581812739372253,0.782547771930695,0.880080282688141,0.46209517121315,"CNN","SNPS","Partition_4"
0.552516877651215,0.669587433338165,0.847071528434753,0.380050778388977,"CNN","SNPS","Partition_5"
0.707679092884064,0.776721298694611,0.613620817661285,0.267582356929779,"CNN","SNPS","Partition_6"
0.560036301612854,0.794123589992523,0.603921175003052,0.384449243545532,"CNN","SNPS","Partition_7"
0.611816227436066,0.526194095611572,1.26891481876373,0.331095576286316,"CNN","SNPS","Partition_8"
0.649973928928375,0.844734847545624,0.883700251579285,0.34019735455513,"CNN","SNPS","Partition_9"
0.66343754529953,0.544473946094513,0.685856521129608,0.328908979892731,"CNN","SNPS","Partition_10"
1.06233406066895,1.16745960712433,0.962594211101532,0.742160856723785,"CNN","SNPS","ARO_ADM"
1.1128396987915,0.499169796705246,0.684382081031799,0.398187220096588,"MLP","ALL","Partition_1"
0.986347198486328,0.483702063560486,0.866470158100128,0.395972609519958,"MLP","ALL","Partition_2"
0.61768501996994,0.553439259529114,0.869108617305756,0.348395526409149,"MLP","ALL","Partition_3"
0.611020028591156,0.895364105701447,0.961248993873596,0.373893082141876,"MLP","ALL","Partition_4"
0.54367733001709,0.780757009983063,1.03360140323639,0.356377720832825,"MLP","ALL","Partition_5"
0.790204465389252,0.955377697944641,0.896401941776276,0.315230280160904,"MLP","ALL","Partition_6"
0.525194525718689,0.771157503128052,0.666753768920898,0.361909419298172,"MLP","ALL","Partition_7"
0.56889683008194,0.400407284498215,0.661488056182861,0.33660215139389,"MLP","ALL","Partition_8"
0.700047791004181,0.541946232318878,0.895629107952118,0.354028403759003,"MLP","ALL","Partition_9"
0.765380620956421,0.619110345840454,0.747965157032013,0.383212327957153,"MLP","ALL","Partition_10"
0.578441381454468,0.595359861850739,1.11794555187225,0.444078385829926,"MLP","ALL","ARO_ADM"
1.01530313491821,0.623274385929108,0.663488268852234,0.48770809173584,"MLP","SNPS","Partition_1"
1.00719714164734,0.74189305305481,0.728861927986145,0.390079617500305,"MLP","SNPS","Partition_2"
0.628245711326599,0.584383726119995,0.898290038108826,0.397587895393372,"MLP","SNPS","Partition_3"
0.59197461605072,0.592883825302124,0.899370610713959,0.290636837482452,"MLP","SNPS","Partition_4"
0.665506303310394,0.813081741333008,0.849517941474915,0.388875782489777,"MLP","SNPS","Partition_5"
1.09203505516052,0.679801464080811,0.819075405597687,0.273857533931732,"MLP","SNPS","Partition_6"
0.533961474895477,0.691275954246521,0.763903379440308,0.428754866123199,"MLP","SNPS","Partition_7"
0.614656031131744,0.503021121025085,0.740941524505615,0.325890630483627,"MLP","SNPS","Partition_8"
0.559868395328522,0.726377308368683,0.805569410324097,0.411947131156921,"MLP","SNPS","Partition_9"
0.683107972145081,0.813109278678894,0.71417224407196,0.372622787952423,"MLP","SNPS","Partition_10"
0.702043294906616,0.956451773643494,1.1384425163269,0.494064569473267,"MLP","SNPS","ARO_ADM"
0.576825261116028,0.59297776222229,0.789840340614319,0.441921323537827,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_1"
0.591236591339111,0.552625358104706,0.729462921619415,0.476948022842407,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_2"
0.531390428543091,0.529094457626343,1.17380905151367,0.373419016599655,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_3"
0.580313146114349,0.551641821861267,0.928767442703247,0.412091344594955,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_4"
0.643418669700623,0.580301284790039,0.980706989765167,0.43478062748909,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_5"
0.513583719730377,0.679862856864929,0.635536253452301,0.336665540933609,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_6"
0.60794860124588,0.637644529342651,0.839551091194153,0.454297751188278,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_7"
0.628599405288696,0.541322946548462,0.696129560470581,0.430950134992599,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_8"
0.627575159072876,0.571379363536835,1.14307451248169,0.444939434528351,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_9"
