"average_coef_1","average_coef_7","average_coef_8","average_coef_10","architecture","marker","Partition"
0.158595135572996,0.371645366703458,0.354496468091017,0.767291884337768,"CNN","ALL","Partition_1"
0.114979838321174,0.447559036394703,0.401258682872792,0.759898390206896,"CNN","ALL","Partition_2"
0.261818295828409,0.447558413664481,0.628270674746535,0.755907108373509,"CNN","ALL","Partition_3"
0.333991828555233,0.509270093945048,0.479794445361319,0.844943375324607,"CNN","ALL","Partition_4"
0.390745570042947,0.286626559977988,0.260378293332676,0.705376555781458,"CNN","ALL","Partition_5"
0.110288015259083,0.296296296296296,0.459574854476605,0.823942313449355,"CNN","ALL","Partition_6"
0.455479646183548,0.199256708374569,0.573569238734959,0.768902583676495,"CNN","ALL","Partition_7"
0.52043743123041,0.400619650062076,0.473698235145009,0.79645340136227,"CNN","ALL","Partition_8"
0.29277002188456,0.399221079548326,0.649588007808394,0.832172203615978,"CNN","ALL","Partition_9"
0.268918494209087,0.468979049610542,0.527791504775054,0.75224809141647,"CNN","ALL","Partition_10"
0.0281160778557767,0.164912280701755,-0.11235558655413,0.649867237396778,"CNN","ALL","ARO_ADM"
0.00715800305663159,0.322446974463202,0.441434236478708,0.778708057641174,"CNN","SNPS","Partition_1"
0.141161856940655,0.463599622814177,0.386516214586028,0.784719847476085,"CNN","SNPS","Partition_2"
0.56143265063957,0.379687166180718,0.601914299872171,0.738321060828983,"CNN","SNPS","Partition_3"
0.329748344633813,0.450026585531586,0.4367606287347,0.789236133911061,"CNN","SNPS","Partition_4"
0.413867742758252,0.236473384831391,0.417736173652825,0.785509693162876,"CNN","SNPS","Partition_5"
0.106451347481701,0.193649167310371,0.502605196112053,0.844543217804018,"CNN","SNPS","Partition_6"
0.433264542962787,0.165117003626867,0.562646891457462,0.769544779223558,"CNN","SNPS","Partition_7"
0.527257122745804,0.573951831493014,0.377786093935991,0.819350164994109,"CNN","SNPS","Partition_8"
0.448914033556326,0.330289129537908,0.569055212197544,0.850627774157648,"CNN","SNPS","Partition_9"
-0.0290578196275733,0.501519008650166,0.471208651374549,0.830619894403141,"CNN","SNPS","Partition_10"
0.0621027319149067,0.455302429201892,0.371323450189942,0.331995312361163,"CNN","SNPS","ARO_ADM"
0.0519832732930574,0.551303316484277,0.499003971366491,0.787392466499012,"MLP","ALL","Partition_1"
0.0862581949177943,0.475127172867426,0.159427173419969,0.753731268942328,"MLP","ALL","Partition_2"
0.375677083322675,0.517370786603211,0.63488671378938,0.776559224681274,"MLP","ALL","Partition_3"
0.351552795031056,0.484959551523979,0.387884098965442,0.829515512376501,"MLP","ALL","Partition_4"
0.436043668353971,0.312896405919662,0.242913264634796,0.799491420587898,"MLP","ALL","Partition_5"
0.314871880445874,0.294185252541169,0.357086521005909,0.814096063577664,"MLP","ALL","Partition_6"
0.565969563702177,0.221243508233365,0.511956105978921,0.78494208038067,"MLP","ALL","Partition_7"
0.41670800059531,0.61913010440883,0.489870196245125,0.802532667403469,"MLP","ALL","Partition_8"
0.368858079724855,0.554321862524588,0.553617229885516,0.832953528654883,"MLP","ALL","Partition_9"
0.245057715725373,0.539650365541402,0.403397515625941,0.79556258531408,"MLP","ALL","Partition_10"
0.07984636960488,0.398475007148977,0.159349391999046,0.724417942088839,"MLP","ALL","ARO_ADM"
0.22583527836189,0.335165893863625,0.501502662997997,0.727385896943561,"MLP","SNPS","Partition_1"
0.167026153019438,0.283546594224557,0.388793015803026,0.78578065427014,"MLP","SNPS","Partition_2"
0.452075171514639,0.295295295295295,0.636855004651254,0.753337508509737,"MLP","SNPS","Partition_3"
0.335345682992991,0.262637362637363,0.377222554703043,0.872677622848993,"MLP","SNPS","Partition_4"
0.232912375259294,0.227589631066825,0.408379057810201,0.786684042398314,"MLP","SNPS","Partition_5"
0.308077564669277,0.238301561909699,0.410771308431006,0.844466654791662,"MLP","SNPS","Partition_6"
0.498407639268062,0.139484806383719,0.423752775435061,0.728356441626704,"MLP","SNPS","Partition_7"
0.658131639493164,0.554929647307863,0.387547517411706,0.807884368410794,"MLP","SNPS","Partition_8"
0.443880062041775,0.330972338041677,0.657424855155425,0.80303678740346,"MLP","SNPS","Partition_9"
0.2255275076351,0.407819105343467,0.449382000110992,0.805585058552255,"MLP","SNPS","Partition_10"
-0.0181818181818182,0.284361115518875,0.198954951558248,0.674803827303226,"MLP","SNPS","ARO_ADM"
0.187847892109146,0.42900595054401,0.400119435948624,0.78071904140152,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_1"
0.272054937262474,0.29125138427464,0.451187747006204,0.703795909521386,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_2"
0.327554659113621,0.449297824612883,0.557130264811665,0.759069481328316,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_3"
0.4169740887677,0.470024599882339,0.350623366208394,0.847506631042077,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_4"
0.172639352352864,0.246240362155825,0.184034113271828,0.752062675987868,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_5"
0.480740381986523,0.274963340665037,0.391510141391228,0.812524709649525,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_6"
0.291838971535304,0.2341070818533,0.26642518819558,0.708834117843133,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_7"
0.31345128114752,0.457051961823966,0.386483765681659,0.777036599206652,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_8"
0.301227212573792,0.490361647617904,0.407376659224861,0.827684554024493,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_9"
0.456821683801583,0.477563353858917,0.416534809559573,0.768371686750303,"MLP_PCA","SIX_PCAS_ONE_INPUT","Partition_10"
0.266919072465403,0.583304852346409,0.321168571935576,0.52904859388968,"MLP_PCA","SIX_PCAS_ONE_INPUT","ARO_ADM"
-0.101960691534556,0.0854048743172803,0.391947691898565,0.755523527815094,"MLP_PCA","PCA_SNPS","Partition_1"
0.227156111999979,0.279009669502426,0.227382727888022,0.752490931427805,"MLP_PCA","PCA_SNPS","Partition_2"
0.327554659113621,0.130852533576688,0.425786837486144,0.761825729847489,"MLP_PCA","PCA_SNPS","Partition_3"
0.366379705896047,0.328542235493292,0.363061769752202,0.774303765481885,"MLP_PCA","PCA_SNPS","Partition_4"
0.266120993761077,-0.0557706148499774,0.326949773811877,0.742654979671868,"MLP_PCA","PCA_SNPS","Partition_5"
0.235173713487998,0.146647115021353,0.260759928517153,0.836229904034841,"MLP_PCA","PCA_SNPS","Partition_6"
0.261608321784972,0.199256708374569,0.218903544698839,0.743810490269251,"MLP_PCA","PCA_SNPS","Partition_7"
0.171745021508686,0.283331005813804,0.430068432249735,0.774754765565573,"MLP_PCA","PCA_SNPS","Partition_8"
0.0563436169819011,0.246861342141118,0.29198968354226,0.820202306421731,"MLP_PCA","PCA_SNPS","Partition_9"
0.439345218501058,0.519669505760811,0.423848053474339,0.709679578759715,"MLP_PCA","PCA_SNPS","Partition_10"
-0.104446593573419,0.138214738143788,0.192777641245098,0.530253354542015,"MLP_PCA","PCA_SNPS","ARO_ADM"
0.0728879298145469,0.241200770477534,0.425867543730513,0.777549448331768,"CNN","LINKED_SNPS","Partition_1"
0.0559016994374946,0.239492849983606,0.402696488709798,0.717509322730415,"CNN","LINKED_SNPS","Partition_2"
0.375677083322675,0.31330658812259,0.590806884032457,0.791932731008417,"CNN","LINKED_SNPS","Partition_3"
0.28202679381818,0.354865275040209,0.501912086534299,0.806083354444371,"CNN","LINKED_SNPS","Partition_4"
0.307930835796342,0.278739233430997,0.423968086084513,0.766602820844818,"CNN","LINKED_SNPS","Partition_5"
0.232317775544682,0.222222222222222,0.520310116699724,0.831555718385253,"CNN","LINKED_SNPS","Partition_6"
0.540951344749081,0.0984763440768981,0.373009578040754,0.729377556523494,"CNN","LINKED_SNPS","Partition_7"
0.479379801815145,0.582455546357703,0.488209035976816,0.827109831584602,"CNN","LINKED_SNPS","Partition_8"
0.4077177531501,0.233630594279205,0.494994597705695,0.854641542785752,"CNN","LINKED_SNPS","Partition_9"
0.210526315789474,0.210345470948254,0.39466258902644,0.802273954111189,"CNN","LINKED_SNPS","Partition_10"
0.295595371033823,0.159422050945504,-0.125511169461809,0.568007290791388,"CNN","LINKED_SNPS","ARO_ADM"
0.00417319238196785,0.489594413187646,0.496332692393954,0.78385360282045,"MLP","LINKED_SNPS","Partition_1"
0.281718084909505,0.405062336315548,0.492225786802924,0.733754966449307,"MLP","LINKED_SNPS","Partition_2"
0.431041530772857,0.394622801833796,0.657202186667275,0.723632697887277,"MLP","LINKED_SNPS","Partition_3"
0.209381421597392,0.260142657455439,0.471578853081908,0.855412752529693,"MLP","LINKED_SNPS","Partition_4"
0.335808402547983,0.183660256547452,0.313006202657731,0.761362382947906,"MLP","LINKED_SNPS","Partition_5"
0.181515691780575,0.136082763487954,0.504628846669461,0.810065142205313,"MLP","LINKED_SNPS","Partition_6"
0.469681297168749,0.0377978683001262,0.529069924556714,0.711405723141278,"MLP","LINKED_SNPS","Partition_7"
0.294222838601252,0.573951831493014,0.291258291276821,0.812747495589552,"MLP","LINKED_SNPS","Partition_8"
0.296751777514946,-0.0337099931231621,0.567989041621393,0.816507539121778,"MLP","LINKED_SNPS","Partition_9"
0.154421710135135,0.0934121853700359,0.367272871424701,0.829520005270576,"MLP","LINKED_SNPS","Partition_10"
0.272727272727273,0.452413928358864,0.314588899937006,0.494749362207539,"MLP","LINKED_SNPS","ARO_ADM"
0.249636693830683,0.0991189255566705,0.298920019682875,0.765384672709871,"MLP_PCA","PCA_LINKED_SNPS","Partition_1"
0.330086225249969,-0.0332779162819861,0.276975967045395,0.729138173963341,"MLP_PCA","PCA_LINKED_SNPS","Partition_2"
0.278020531039037,0.353622894784569,0.48656564562006,0.744071966949022,"MLP_PCA","PCA_LINKED_SNPS","Partition_3"
0.327068894907007,0.261231235195484,0.267865383286235,0.829946641666393,"MLP_PCA","PCA_LINKED_SNPS","Partition_4"
0.287651760162332,-0.0478726374384377,0.107457672947266,0.714583328209177,"MLP_PCA","PCA_LINKED_SNPS","Partition_5"
0.443217519523429,0.186145197762485,0.399975506451849,0.786294205130745,"MLP_PCA","PCA_LINKED_SNPS","Partition_6"
0.220019829088663,0.0431991784828629,0.375849787307785,0.698003850060082,"MLP_PCA","PCA_LINKED_SNPS","Partition_7"
0.251976315339485,0.368628653622179,0.194825507003867,0.770007061840571,"MLP_PCA","PCA_LINKED_SNPS","Partition_8"
0.265197417652718,0.00917469804271965,0.413220875738452,0.820908685727807,"MLP_PCA","PCA_LINKED_SNPS","Partition_9"
0.0847173742087358,0.28389653711361,0.167447135077699,0.704002442984391,"MLP_PCA","PCA_LINKED_SNPS","Partition_10"
0.328020908317394,0.349044923576413,0.138666199743027,0.62924584770938,"MLP_PCA","PCA_LINKED_SNPS","ARO_ADM"
0.00494846412683464,0.52037435917252,0.38322807926213,0.74587133942643,"MLP_PCA","PCA_MULTIPLE_INPUTS","Partition_1"
