"average_corr.1","average_corr.7","average_corr.8","average_corr.10","architecture","marker","Partition"
NA,0.241788209930796,0.541658542153909,0.79060194993677,"BayesC","ALL","Partition_1"
-0.0888523316638639,0.18028280462858,0.452249793493377,0.778621348702004,"BayesC","ALL","Partition_2"
0.076649546631249,0.109923252193241,0.645545493521457,0.768192594746228,"BayesC","ALL","Partition_3"
NA,0.158687107425128,0.467813935235454,0.86956291236296,"BayesC","ALL","Partition_4"
NA,0.174756323854883,0.37588872711629,0.786638342110622,"BayesC","ALL","Partition_5"
NA,0.146647115021353,0.472929185417135,0.823347625669444,"BayesC","ALL","Partition_6"
NA,0.239478851192451,0.535218926933895,0.77049852903831,"BayesC","ALL","Partition_7"
NA,0.142026904100358,0.527955398135373,0.802231363137412,"BayesC","ALL","Partition_8"
NA,0.133198856916533,0.57255140754319,0.84010015265735,"BayesC","ALL","Partition_9"
0.0513792605158275,0.06702466256014,0.398950053976825,0.810326340951037,"BayesC","ALL","Partition_10"
NA,NA,-0.0405907341291438,0.688380105591216,"BayesC","ALL","ARO_ADM"
NA,NA,0.53201675427544,0.79810580722518,"BayesC","LINKED_SNPS","Partition_1"
NA,NA,0.481444802594562,0.751114144248223,"BayesC","LINKED_SNPS","Partition_2"
NA,NA,0.655321696722429,0.799758499736114,"BayesC","LINKED_SNPS","Partition_3"
NA,NA,0.506394099665881,0.845752198638427,"BayesC","LINKED_SNPS","Partition_4"
NA,NA,0.469373523302074,0.803061178158149,"BayesC","LINKED_SNPS","Partition_5"
NA,NA,0.501256394417997,0.830146083370513,"BayesC","LINKED_SNPS","Partition_6"
NA,NA,0.469938043831424,0.766913388918267,"BayesC","LINKED_SNPS","Partition_7"
NA,NA,0.439286801534297,0.829617221427149,"BayesC","LINKED_SNPS","Partition_8"
NA,NA,0.617694226579271,0.843022884549515,"BayesC","LINKED_SNPS","Partition_9"
NA,NA,0.468368034433497,0.824148931378036,"BayesC","LINKED_SNPS","Partition_10"
NA,NA,0.236564455380641,0.611276100134229,"BayesC","LINKED_SNPS","ARO_ADM"
NA,0.137497173195728,0.523079833533849,0.776384506129108,"BayesC","SNPS","Partition_1"
-0.0888523316638639,NA,0.327406937628158,0.784778047668683,"BayesC","SNPS","Partition_2"
0.076649546631249,0.171550078488555,0.6574372385168,0.752559766970565,"BayesC","SNPS","Partition_3"
NA,0.111269728052837,0.438400830060309,0.849092214264939,"BayesC","SNPS","Partition_4"
NA,NA,0.425144969185637,0.755254951539376,"BayesC","SNPS","Partition_5"
NA,0.146647115021353,0.494484863048892,0.845285657793543,"BayesC","SNPS","Partition_6"
NA,0.139304691216524,0.502191589091345,0.730529446591784,"BayesC","SNPS","Partition_7"
NA,0.0526387801211935,0.450043009629828,0.809015019186726,"BayesC","SNPS","Partition_8"
NA,0.00863224468409811,0.602408380979843,0.856715710396665,"BayesC","SNPS","Partition_9"
0.0513792605158275,-0.00561540825663541,0.486703127195881,0.817319060582181,"BayesC","SNPS","Partition_10"
NA,-0.154672056222436,0.128985264034979,0.663472606665579,"BayesC","SNPS","ARO_ADM"
NA,0.281365716935569,0.572306914117963,0.751474180353892,"RKHS","ALL","Partition_1"
-0.0888523316638639,0.159898333196483,0.412188157098856,0.758889114636542,"RKHS","ALL","Partition_2"
0.076649546631249,0.028412301416376,0.597987011416415,0.769593984779615,"RKHS","ALL","Partition_3"
NA,0.284673428754707,0.4736028213401,0.860400284308642,"RKHS","ALL","Partition_4"
NA,0.249096491442698,0.437077435304725,0.78798030994857,"RKHS","ALL","Partition_5"
NA,0.0468292905790847,0.482733096626912,0.819931833486302,"RKHS","ALL","Partition_6"
NA,0.239478851192451,0.485202776468728,0.773585958094357,"RKHS","ALL","Partition_7"
NA,0.267332806867705,0.460210297686114,0.834152334105444,"RKHS","ALL","Partition_8"
NA,0.00863224468409811,0.560947306069355,0.829280497367738,"RKHS","ALL","Partition_9"
NA,0.06702466256014,0.467375670502705,0.802084663154152,"RKHS","ALL","Partition_10"
NA,-0.154672056222436,-0.0154316899947121,0.663744261107293,"RKHS","ALL","ARO_ADM"
NA,NA,0.587748609652605,0.792669509616074,"RKHS","LINKED_SNPS","Partition_1"
NA,NA,0.48162407009133,0.761431451977011,"RKHS","LINKED_SNPS","Partition_2"
NA,-0.107624400500126,0.628131398759969,0.782066222801823,"RKHS","LINKED_SNPS","Partition_3"
NA,NA,0.510120322343185,0.854953861228184,"RKHS","LINKED_SNPS","Partition_4"
NA,NA,0.484436314171283,0.790589591289925,"RKHS","LINKED_SNPS","Partition_5"
NA,NA,0.49871725876671,0.847903601404934,"RKHS","LINKED_SNPS","Partition_6"
NA,NA,0.513393750835084,0.755179067260319,"RKHS","LINKED_SNPS","Partition_7"
NA,NA,0.377787276485403,0.843161465042051,"RKHS","LINKED_SNPS","Partition_8"
NA,NA,0.579351240435358,0.835583585563302,"RKHS","LINKED_SNPS","Partition_9"
NA,NA,0.551288808173593,0.818788402676041,"RKHS","LINKED_SNPS","Partition_10"
NA,NA,0.151356774920538,0.646959848314026,"RKHS","LINKED_SNPS","ARO_ADM"
NA,NA,0.582358633948421,0.813383193548621,"RKHS","SIX_KERNELS","Partition_1"
NA,NA,0.42771772487157,0.773315115012035,"RKHS","SIX_KERNELS","Partition_2"
NA,NA,0.642452206322389,0.792063278593871,"RKHS","SIX_KERNELS","Partition_3"
NA,NA,0.502491137785888,0.876926456420404,"RKHS","SIX_KERNELS","Partition_4"
NA,NA,0.453332231916329,0.790979225814194,"RKHS","SIX_KERNELS","Partition_5"
