"average_corr.1","average_corr.7","average_corr.8","average_corr.10","architecture","marker","Partition"
NA,NA,0.517621202475103,0.860438838107909,"RKHS","SIX_KERNELS","Partition_6"
NA,NA,0.536981458236364,0.783661102630189,"RKHS","SIX_KERNELS","Partition_7"
NA,NA,0.429238818880284,0.850541202385549,"RKHS","SIX_KERNELS","Partition_8"
NA,NA,0.595410786147625,0.849398230605031,"RKHS","SIX_KERNELS","Partition_9"
NA,NA,0.518595994115796,0.833254188362207,"RKHS","SIX_KERNELS","Partition_10"
NA,NA,0.155955146200753,0.722549348539663,"RKHS","SIX_KERNELS","ARO_ADM"
0.176044697554883,0.0975636636562859,0.58696051140117,0.791531493110173,"RKHS","SNPS","Partition_1"
-0.0888523316638639,0.18028280462858,0.414403322801953,0.778363312051495,"RKHS","SNPS","Partition_2"
0.076649546631249,0.109923252193241,0.630127304744413,0.744452332951616,"RKHS","SNPS","Partition_3"
NA,0.158687107425128,0.462037626449171,0.856396075622084,"RKHS","SNPS","Partition_4"
NA,0.152573087107309,0.388878263427244,0.786451829572383,"RKHS","SNPS","Partition_5"
NA,0.146647115021353,0.516291554935238,0.821903051811752,"RKHS","SNPS","Partition_6"
NA,0.0323211957651026,0.481411831349926,0.733411863903062,"RKHS","SNPS","Partition_7"
NA,0.0526387801211935,0.441693694041325,0.825348376437825,"RKHS","SNPS","Partition_8"
NA,0.133198856916533,0.582743087203413,0.838261095752166,"RKHS","SNPS","Partition_9"
NA,0.165650429962917,0.511154016426205,0.813868127738868,"RKHS","SNPS","Partition_10"
NA,-0.22213082915966,-0.0479747381806632,0.643385980144615,"RKHS","SNPS","ARO_ADM"
